State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2014
estimated 
population",
,Total all ages,"239,994","5,936","32,318",128,458,939,"4,411","2,671","27,857","1,565",225,"16,849",585,"1,928",88,319,"5,296","2,164",347,525,"13,381",13,"3,225","27,874","12,641",271,"9,801",561,"104,264",0,"1,608",,,
CONNECTICUT,Under 18,"9,431",515,"1,917",5,33,213,264,323,"1,370",143,81,"2,378",15,31,1,36,437,199,1,85,732,0,41,33,72,0,"1,722",0,"1,209",0,7,101,"3,596,160",
,Total all ages,"107,855","4,051","17,132",94,238,"1,166","2,553","2,409","13,857",581,285,"18,508",681,963,164,285,"2,011","1,129",348,389,"9,927",14,"1,401","8,918",357,2,"11,949",26,"29,593",0,7,,,
DELAWARE,Under 18,"4,133",339,930,4,14,146,175,190,706,24,10,"1,104",4,59,1,58,147,113,0,30,458,1,1,3,135,4,304,0,377,0,65,49,"933,379",
,Total all ages,"36,780","2,126","7,963",22,78,537,"1,489","1,027","6,780",128,28,"6,826",272,"1,884",204,435,774,394,64,137,"6,163",6,194,334,"1,120",473,"1,645",489,"5,212",0,65,,,
DISTRICT OF COLUMBIA6,Under 18,332,43,25,0,0,34,9,0,22,3,0,31,3,1,0,4,6,31,0,0,23,0,0,0,4,0,15,0,144,0,2,1,0,
,Total all ages,"5,709",110,128,0,1,64,45,0,119,8,1,202,12,3,0,14,38,92,0,0,389,0,0,10,532,64,76,92,"3,945",0,2,,,
"FLORIDA5,7",Under 18,"66,839","4,536","19,449",49,270,"1,657","2,560","5,462","12,220","1,700",67,"10,075",52,450,21,130,"1,297",854,27,219,"7,382",5,0,130,864,0,0,0,"21,348",0,0,591,"19,829,171",
,Total all ages,"865,272","39,249","119,875",685,"1,839","7,712","29,013","20,914","92,468","6,204",289,"81,138","2,482","12,236",954,"2,400","6,464","4,911","3,356","2,583","122,190",416,0,"42,745","21,682",0,0,0,"402,591",0,0,,,
GEORGIA8,Under 18,"28,458","1,461","8,233",44,30,594,793,"1,740","5,956",485,52,"4,079",51,181,5,378,801,458,20,375,"2,461",10,173,147,642,58,"2,627",63,"5,413",196,626,375,"8,760,392",
,Total all ages,"307,221","11,535","47,951",419,326,"2,625","8,165","6,739","39,374","1,624",214,"29,725","3,512","5,485",399,"3,048","3,913","3,363",679,"3,229","42,619",238,"3,849","23,004","6,706","2,051","19,913","1,205","93,921",250,626,,,
HAWAII,Under 18,590,24,112,2,1,8,13,18,78,13,3,42,0,0,0,0,5,5,0,0,153,0,0,10,42,0,6,0,72,0,119,1,"162,229",
,Total all ages,"9,464",332,"1,072",6,22,63,241,215,723,130,4,640,12,11,0,0,72,89,20,20,"1,122",53,8,810,106,0,154,0,"4,824",0,119,,,
IDAHO,Under 18,"8,172",113,"1,771",1,21,10,81,290,"1,360",84,37,809,3,34,2,35,378,86,0,86,883,0,40,73,605,64,266,0,"2,645",0,279,109,"1,634,011",
,Total all ages,"59,003","1,403","6,673",16,108,92,"1,187",986,"5,417",207,63,"5,017",125,371,60,231,"1,051",354,17,245,"7,409",0,911,"7,439","2,478",372,"1,666",21,"22,881",0,279,,,
ILLINOIS5,Under 18,"16,779","1,377","3,431",43,45,973,316,602,"1,865",939,25,"2,468",6,12,0,23,674,775,3,36,"3,040",196,7,4,72,0,"2,212",0,"2,347",0,96,2,"2,873,707",
,Total all ages,"108,211","4,655","14,984",329,349,"2,058","1,919","1,678","10,688","2,544",74,"16,555",216,267,0,74,"2,896","3,343",931,534,"29,478","1,356",313,"3,653",462,0,"9,651",47,"18,700",0,96,,,
INDIANA,Under 18,"15,814",859,"4,353",16,30,269,544,532,"3,490",298,33,"2,847",13,75,3,120,480,234,3,144,"1,221",4,242,66,"1,202",90,"1,009",11,"2,357",105,376,243,"4,830,065",
,Total all ages,"143,682","7,463","22,937",189,170,"1,185","5,919","2,488","19,081","1,271",97,"13,121",866,"1,355",130,683,"1,390","1,559",497,828,"16,167",14,"1,240","14,878","5,940","5,847","3,900",232,"44,071",188,376,,,
IOWA,Under 18,"13,115",454,"3,677",2,39,83,330,359,"3,121",142,55,"1,627",11,39,1,36,945,143,5,55,"1,074",0,2,79,861,183,"1,581",0,"1,962",0,380,196,"2,814,849",
,Total all ages,"100,607","4,158","14,885",28,157,361,"3,612","1,499","12,882",394,110,"8,537",509,761,74,204,"2,289",742,68,193,"9,115",5,"1,208","9,952","4,352","10,951","5,443",16,"26,765",0,380,,,
KANSAS,Under 18,"5,106",226,"1,107",5,38,40,143,116,901,70,20,763,9,12,12,28,299,36,0,57,747,0,9,78,609,0,238,0,876,0,0,222,"1,961,283",
,Total all ages,"68,291","1,992","6,214",37,151,205,"1,599",819,"4,943",395,57,"9,041",261,648,159,368,"1,808",450,104,194,"7,677",0,207,"8,438","3,868",287,"2,146",0,"24,429",0,0,,,
KENTUCKY,Under 18,"6,453",367,"2,203",11,27,213,116,530,"1,506",111,56,"1,078",10,20,9,232,158,123,0,55,656,1,3,50,34,75,309,10,"1,060",0,0,390,"4,361,843",
,Total all ages,"178,916","3,790","23,106",159,249,"1,260","2,122","3,507","18,825",629,145,"11,316","1,022","1,135",483,"1,912","1,097","1,015",226,370,"21,644",9,"4,758","19,953",234,"15,663","4,537",179,"66,467",0,0,,,
LOUISIANA,Under 18,"12,356",611,"3,060",12,36,137,426,775,"2,062",193,30,"2,606",7,9,1,145,383,180,5,83,"1,007",2,34,28,86,14,"1,426",20,"2,471",3,175,132,"2,837,980",
,Total all ages,"121,145","5,215","20,526",165,218,669,"4,163","3,445","16,290",721,70,"15,282",546,"1,154",98,"1,166","1,968","1,585",398,619,"17,693",34,"1,125","5,598","1,154","2,626","5,777",124,"38,180",102,175,,,
MAINE,Under 18,"3,854",57,950,0,11,5,41,144,749,50,7,524,7,9,2,14,269,15,2,42,472,0,3,52,636,3,126,0,649,0,22,179,"1,327,844",
,Total all ages,"47,815",762,"7,286",10,65,164,523,905,"6,117",222,42,"5,224",232,643,58,148,"1,168",270,52,207,"5,802",4,154,"5,531","3,124",16,"1,568",0,"15,544",0,22,,,
MARYLAND,Under 18,"17,328","1,549","4,350",11,32,823,683,928,"2,851",475,96,"3,287",39,40,5,15,691,398,6,118,"2,342",52,10,78,486,2,853,28,"2,802",25,152,150,"4,625,308",
,Total all ages,"195,120","8,322","24,566",195,284,"2,692","5,151","4,624","18,584","1,112",246,"19,353",553,"1,048",227,170,"2,527","2,739",882,874,"37,780",239,"1,808","17,839","5,985",81,"5,875",131,"63,731",238,152,,,
MASSACHUSETTS,Under 18,"8,375",987,"1,432",1,21,262,703,330,978,91,33,"1,755",11,22,4,131,478,160,2,51,274,1,23,49,508,169,567,0,"1,736",15,0,306,"6,054,324",
,Total all ages,"125,708","10,181","17,915",47,274,"1,464","8,396","2,788","14,437",603,87,"19,689",518,"1,288",133,"1,188","2,759","1,293",674,436,"10,516",23,"1,130","7,530","3,047","6,875","5,594",7,"34,846",66,0,,,
MICHIGAN,Under 18,"18,658","1,159","4,983",18,88,332,721,730,"3,875",326,52,"2,628",25,241,15,211,469,342,7,122,"2,294",5,13,240,"1,759",9,725,0,"2,985",0,426,551,"9,424,958",
,Total all ages,"246,442","11,260","27,848",278,641,"1,631","8,710","3,743","22,631","1,259",215,"25,648",468,"4,000",912,"1,439","2,326","3,606",359,604,"33,567",55,"4,505","28,072","12,057",415,"6,740",168,"81,967",0,426,,,
MINNESOTA,Under 18,"22,763",910,"5,452",2,112,348,448,408,"4,787",236,21,"2,357",29,123,2,283,992,407,4,169,"2,546",0,8,195,"2,555",0,"2,418",7,"3,109",0,"1,197",332,"5,456,434",
,Total all ages,"151,155","5,564","27,659",87,543,"1,151","3,783","2,411","24,079","1,086",83,"14,770",878,"2,286",64,"1,723","3,094","1,797",617,"1,159","19,148",28,634,"20,586","11,833",1,"10,149",184,"27,784",0,"1,197",,,
MISSISSIPPI,Under 18,"5,277",121,"1,355",3,7,62,49,261,"1,023",47,24,717,5,28,1,63,133,112,3,18,353,5,357,45,67,44,670,3,"1,057",5,115,73,"1,360,508",
,Total all ages,"79,522","1,626","10,006",124,83,406,"1,013","1,457","8,187",295,67,"7,002",478,"1,120",443,612,739,858,83,184,"8,958",72,"3,103","8,174","1,044","3,898","4,457",105,"26,316",129,115,,,
MISSOURI,Under 18,"21,790","1,011","5,320",25,136,322,528,595,"4,427",218,80,"3,369",20,45,17,326,923,297,6,315,"2,342",9,62,216,"1,289",19,"1,400",25,"3,756",0,"1,023",376,"5,679,748",
,Total all ages,"256,349","9,220","37,807",248,488,"1,747","6,737","4,403","31,453","1,767",184,"25,178","1,429","2,244",330,"2,634","4,229","2,735",376,"1,395","33,496",116,"2,832","22,187","6,896",427,"9,259",548,"91,988",0,"1,023",,,
MONTANA,Under 18,"4,838",78,"1,064",0,4,3,71,64,920,57,23,497,0,11,4,8,248,21,1,20,371,0,103,51,682,0,457,0,811,0,411,94,"987,530",
,Total all ages,"29,766",946,"4,927",11,52,49,834,279,"4,387",226,35,"3,779",61,269,40,36,855,97,8,85,"2,205",0,269,"4,461","2,123",0,"3,086",8,"6,100",0,411,,,
NEBRASKA,Under 18,"11,789",242,"3,196",8,19,77,138,228,"2,854",90,24,"1,489",6,86,13,137,778,141,0,121,"1,587",0,17,122,"1,217",0,785,0,"1,692",0,160,162,"1,692,672",
,Total all ages,"73,802","2,237","10,825",45,145,294,"1,753",734,"9,697",341,53,"7,066",331,"1,419",94,699,"2,368","1,016",130,470,"11,965",6,"1,241","8,372","6,913",1,"3,188",62,"15,239",0,160,,,
NEVADA,Under 18,"10,468",867,"2,194",4,47,216,600,423,"1,596",147,28,"1,587",4,17,4,135,387,159,87,78,998,4,25,52,812,61,217,31,"2,021",1,727,34,"2,824,905",
,Total all ages,"122,274","7,808","13,639",122,279,"1,809","5,598","2,736","9,987",851,65,"14,366",626,"1,513",344,"1,241","1,500","1,492","3,827","1,002","12,508",50,946,"8,072","4,925",211,"1,589","1,795","44,091",2,727,,,
NEW HAMPSHIRE,Under 18,"4,199",96,604,0,9,26,61,50,522,22,10,661,1,16,7,66,262,7,0,27,607,0,3,44,509,136,120,0,"1,012",0,21,152,"1,217,941",
,Total all ages,"46,180",864,"4,918",1,54,205,604,411,"4,390",83,34,"5,258",224,873,95,700,"1,158",108,64,143,"6,224",23,158,"4,528","3,425","3,259","1,046",55,"13,036",0,21,,,
NEW JERSEY,Under 18,"21,058","1,579","3,548",18,50,784,727,743,"2,598",117,90,"1,784",47,122,9,427,816,792,5,198,"3,742",37,43,133,975,0,"1,772",32,"3,210",0,"1,787",481,"8,525,652",
,Total all ages,"303,639","10,377","30,216",247,315,"3,327","6,488","4,998","24,468",537,213,"21,541","1,142","4,891",321,"2,735","3,792","3,832",926,"1,129","52,721",253,"10,102","23,031","3,797",0,"14,943",346,"115,757",0,"1,787",,,
NEW MEXICO,Under 18,"5,254",252,"1,274",4,9,6,233,139,"1,090",34,11,727,2,17,4,40,123,63,2,11,671,0,28,48,334,7,262,3,"1,386",0,0,70,"1,622,929",
,Total all ages,"81,447","3,813","10,166",73,116,230,"3,394","1,375","8,461",287,43,"7,992",198,553,166,764,906,408,155,105,"5,529",6,"1,346","7,384","2,708",56,"2,251",58,"36,866",17,0,,,
NEW YORK5,Under 18,"22,398","1,692","6,174",15,54,824,799,"1,093","4,634",346,101,"3,097",73,202,0,482,"2,169",481,8,342,"3,293",7,42,92,342,0,959,19,"2,924",0,0,435,"10,093,827",
,Total all ages,"264,268","11,907","51,764",210,422,"3,415","7,860","6,530","43,326","1,627",281,"29,594","2,473","4,874",46,"3,800","13,593","3,218",834,"1,938","58,782",82,522,"26,587","2,141",0,"7,596",788,"43,729",0,0,,,
NORTH CAROLINA,Under 18,"27,216","1,392","7,348",34,36,558,764,"1,793","5,339",123,93,"5,307",30,256,24,398,"1,063","1,066",12,144,"2,480",9,53,276,770,0,"2,461",0,"4,117",0,10,321,"8,996,381",
,Total all ages,"369,728","16,763","60,597",494,401,"3,330","12,538","12,674","46,549","1,099",275,"48,327","1,845","12,783","1,277","3,842","6,624","6,398",495,"1,216","34,695",153,"6,760","39,743","4,849",0,"8,729",165,"114,457",0,10,,,
NORTH DAKOTA,Under 18,"3,633",47,654,0,21,5,21,37,581,31,5,301,1,15,7,17,146,21,0,15,395,0,51,32,572,0,527,0,746,0,86,101,"711,112",
,Total all ages,"30,653",616,"3,132",16,54,57,489,224,"2,703",190,15,"2,334",96,374,61,151,435,356,47,69,"4,004",0,106,"6,664","3,500",372,"1,640",2,"6,608",0,86,,,
OHIO,Under 18,"24,585",975,"4,865",16,98,466,395,796,"3,755",230,84,"4,956",26,127,1,496,"1,073",327,12,149,"1,848",6,196,75,901,32,"1,784",11,"6,257",1,467,426,"8,531,005",
,Total all ages,"244,134","6,681","37,913",212,476,"2,084","3,909","4,736","32,230",751,196,"31,504","1,115","2,460",48,"3,245","3,838","3,204","1,528",665,"36,331",35,"1,792","34,626","8,094","2,599","15,787",25,"52,128",49,467,,,
OKLAHOMA,Under 18,"11,177",479,"3,328",12,33,138,296,507,"2,679",96,46,922,1,37,33,287,218,219,0,46,"1,361",3,61,116,181,335,549,0,"2,003",0,998,311,"3,802,453",
,Total all ages,"123,408","4,673","19,023",129,236,717,"3,591","2,301","15,985",576,161,"8,529",547,"1,602",475,"2,479","1,153","1,988",138,466,"17,721",40,733,"12,741","1,602","16,073","2,062",683,"29,682",0,998,,,
OREGON,Under 18,"7,249",223,"1,951",3,17,69,134,201,"1,631",69,50,795,8,43,0,19,509,72,2,59,"1,086",0,4,46,763,0,385,0,785,0,499,101,"2,036,792",
,Total all ages,"71,804","2,374","14,717",43,132,535,"1,664","1,241","12,482",885,109,"6,823",323,"1,411",24,298,"2,382","1,060",229,531,"11,165",0,249,"6,020","6,077",0,"5,445",2,"12,175",0,499,,,
PENNSYLVANIA,Under 18,"57,639","3,164","7,316",15,220,"1,173","1,756","1,096","5,673",390,157,"5,420",69,155,17,326,"1,976","1,083",12,448,"4,057",2,35,308,"3,317",234,"8,577",51,"5,681",0,"15,391","1,315","12,433,961",
,Total all ages,"415,346","21,135","61,383",402,"1,095","5,590","14,048","8,023","50,564","2,323",473,"43,005","2,258","7,499",455,"2,457","7,676","4,739","2,332","2,230","57,392",91,"1,779","47,019","13,959","23,180","40,711",481,"60,174",0,"15,391",,,
RHODE ISLAND,Under 18,"2,932",98,581,3,12,33,50,130,395,28,28,485,3,5,2,58,208,98,0,20,95,0,76,15,64,0,591,0,516,0,17,48,"1,055,173",
,Total all ages,"30,447",782,"3,357",14,61,123,584,644,"2,546",118,49,"4,053",103,510,120,313,934,353,85,94,"1,913",19,116,"2,721",704,5,"2,783",3,"11,462",0,17,,,
SOUTH CAROLINA,Under 18,"13,059",570,"3,398",20,47,197,306,519,"2,767",74,38,"2,072",19,59,13,177,465,341,3,69,"1,826",0,11,54,440,67,"1,715",0,"1,730",0,30,225,"4,184,786",
,Total all ages,"157,253","6,693","26,158",224,312,"1,211","4,946","3,489","21,845",701,123,"17,356","1,349","3,835",391,"1,859","2,679","1,781",608,369,"26,720",102,"1,338","11,226","6,790","9,112","11,374",633,"26,850",0,30,,,
SOUTH DAKOTA,Under 18,"4,363",75,920,0,8,8,59,85,788,40,7,390,0,62,10,30,125,29,0,16,781,0,148,56,719,9,340,0,574,0,79,120,"761,716",
,Total all ages,"35,375",866,"3,565",9,51,59,747,309,"3,099",130,27,"3,631",75,627,35,90,452,145,51,49,"5,406",0,367,"5,990","3,100",111,"2,285",420,"8,031",0,79,,,
TENNESSEE,Under 18,"25,985","1,689","5,380",21,73,381,"1,214",858,"4,175",284,63,"4,554",53,172,17,69,"1,014",469,0,112,"2,460",29,75,174,922,172,"2,269",0,"4,814",0,"1,541",460,"6,410,225",
,Total all ages,"358,850","17,122","44,517",309,352,"2,068","14,393","5,947","36,210","2,124",236,"31,152","1,692","6,666",763,744,"4,626","2,971","1,369",620,"41,493",189,"3,393","26,657","6,907","17,348","8,442",7,"140,631",0,"1,541",,,
TEXAS,Under 18,"71,377","3,360","19,029",45,299,"1,073","1,943","2,981","15,076",832,140,"10,747",83,232,23,198,"2,406",637,93,476,"11,719",29,145,434,"1,872","1,331","2,107",155,"13,353",0,"2,948",984,"26,646,809",
,Total all ages,"849,887","29,135","122,822",710,"1,912","5,995","20,518","14,273","103,547","4,494",508,"91,686","4,866","7,817",501,"1,079","8,989","9,246","4,891","3,547","135,683",593,"5,207","70,482","12,931","75,764","12,141","1,065","248,494",0,"2,948",,,
UTAH,Under 18,"16,659",260,"3,818",2,59,46,153,229,"3,438",105,46,"1,469",7,39,2,94,955,225,31,323,"1,784",0,23,156,935,143,"1,014",18,"4,447",2,914,118,"2,858,405",
,Total all ages,"118,405","2,206","19,420",43,235,440,"1,488","1,098","17,828",410,84,"9,833",723,"1,026",31,998,"2,979","1,080",193,808,"14,630",0,"1,274","8,063","5,981","4,219","3,615",74,"40,335",3,914,,,
VERMONT,Under 18,655,31,124,0,9,2,20,32,89,1,2,141,0,2,3,6,69,7,0,7,19,0,4,10,38,0,69,0,125,0,0,61,"556,859",
,Total all ages,"11,381",473,"1,473",11,41,25,396,209,"1,220",30,14,"1,262",36,205,46,108,261,18,14,33,661,0,183,"2,189",103,1,684,0,"3,631",0,0,,,
VIRGINIA,Under 18,"20,131",699,"4,167",11,60,290,338,532,"3,390",164,81,"3,425",25,128,32,104,758,284,3,147,"2,281",0,30,86,"1,018",116,797,0,"4,909",0,"1,122",356,"8,219,731",
,Total all ages,"300,102","6,923","35,123",278,471,"1,591","4,583","3,490","30,626",803,204,"34,044","1,857","5,718","1,609",853,"3,929","3,197",970,833,"36,988",50,"2,282","23,611","7,628","26,047","4,136",223,"102,959",0,"1,122",,,
WASHINGTON,Under 18,"15,744",885,"4,621",10,67,335,473,752,"3,592",219,58,"3,301",19,30,1,207,864,263,10,135,"1,697",0,24,142,"1,099",0,228,1,"2,205",0,12,229,"6,490,207",
,Total all ages,"183,687","7,707","35,757",137,479,"1,851","5,240","4,982","29,320","1,248",207,"26,336",996,991,68,"3,423","5,132","1,739",528,661,"11,111",0,455,"26,952","3,896",12,"3,260",141,"54,510",0,12,,,
WEST VIRGINIA,Under 18,"1,247",58,272,2,1,13,42,41,214,16,1,196,3,5,2,8,42,27,0,14,127,0,0,14,96,3,18,0,357,0,5,243,"1,379,958",
,Total all ages,"43,394","1,870","7,115",42,86,154,"1,588",705,"6,189",196,25,"5,068",296,571,150,284,649,314,76,126,"5,994",2,78,"4,723","1,221","1,315",634,25,"12,878",0,5,,,
WISCONSIN,Under 18,"51,778","1,356","10,004",19,158,532,647,921,"8,590",434,59,"2,814",44,134,29,596,"2,237",860,40,846,"3,206",23,139,355,"3,542",0,"9,346",40,"13,353",0,"2,814",384,"5,557,794",
,Total all ages,"281,399","7,487","36,709",171,677,"1,580","5,059","3,163","32,264","1,138",144,"15,969",985,"3,022",258,"1,508","7,073","3,955",662,"2,239","24,854",100,"2,703","24,330","17,560",0,"39,032","1,609","88,530",0,"2,814",,,
WYOMING,Under 18,"3,501",34,599,0,6,1,27,31,538,24,6,404,0,10,0,3,208,28,2,12,478,0,9,29,433,38,109,7,885,2,211,50,"523,781",
,Total all ages,"28,872",453,"2,770",19,39,18,377,225,"2,418",84,43,"2,625",46,168,12,66,554,90,54,128,"3,459",1,306,"3,742","2,008","2,404",921,62,"8,785",7,211,,,
1 Does not include traffic arrests.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Violent crimes in this table are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,
3 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 Drunkenness is not considered a crime in some states; therefore, the figures vary widely from state to state. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 See 2014 arrest data information in the data declaration for further explanation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Includes arrests reported by the Metro Transit Police.  This agency has no population associated with it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 The arrest category All other offenses for Florida also includes the arrest counts for offenses against the family and children, drunkenness, disorderly conduct, vagrancy, suspicion, curfew and loitering law violations, and runaways. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  Because the number of agencies submitting arrest data varies from year to year, users are cautioned about making direct comparisons between 2014 arrest totals and those published in previous years' editions of Crime in the United States.  Further, arrest figures may vary widely from state to state because some Part II crimes are not considered crimes in some states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,, ,
